RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,SyntheticFirstName,CustomerFullName,CountryISO2,Locale,TimeZone,LocalCurrency,Region,City,PostalCode,StreetAddress,PhoneCountryCode,SyntheticPhone,SyntheticEmail,CustomerAgeGroup
1.0,15634602,Hargrave,619.0,France,Female,42,2.0,0.0,1.0,1.0,1.0,101348.88,1.0,Léa,Léa Hargrave,FR,fr_FR,Europe/Paris,EUR,Provence-Alpes-Côte d'Azur,Nice,06000,111 Boulevard Gambetta,+33,+33 6 86 42 92 47,lea.hargrave.4602@fr.demo-bank.example,35-44
2.0,15647311,Hill,608.0,Spain,Female,41,1.0,83807.86,1.0,0.0,1.0,112542.58,0.0,María,María Hill,ES,es_ES,Europe/Madrid,EUR,Balearic Islands,Palma,07001,178 Avenida del Sol,+34,+34 716 245 641,maria.hill.7311@es.demo-bank.example,35-44
3.0,15619304,Onio,502.0,France,Female,42,8.0,159660.8,3.0,1.0,0.0,113931.57,1.0,Léa,Léa Onio,FR,fr_FR,Europe/Paris,EUR,Auvergne-Rhône-Alpes,Lyon,69001,180 Avenue de la République,+33,+33 6 09 80 39 93,lea.onio.9304@fr.demo-bank.example,35-44
4.0,15701354,Boni,699.0,France,Female,39,1.0,0.0,2.0,0.0,0.0,93826.63,0.0,Chloé,Chloé Boni,FR,fr_FR,Europe/Paris,EUR,Grand Est,Strasbourg,67000,156 Rue de la République,+33,+33 7 76 35 62 25,chloe.boni.1354@fr.demo-bank.example,35-44
5.0,15737888,Mitchell,850.0,Spain,Female,43,2.0,125510.82,1.0,1.0,1.0,79084.1,0.0,Martina,Martina Mitchell,ES,es_ES,Europe/Madrid,EUR,Basque Country,Bilbao,48001,37 Avenida Gran Vía,+34,+34 791 170 698,martina.mitchell.7888@es.demo-bank.example,35-44
6.0,15574012,Chu,645.0,Spain,Male,44,8.0,113755.78,2.0,1.0,0.0,149756.71,1.0,Martín,Martín Chu,ES,es_ES,Europe/Madrid,EUR,Basque Country,Bilbao,48001,127 Avenida Real,+34,+34 631 398 170,martin.chu.4012@es.demo-bank.example,35-44
7.0,15592531,Bartlett,822.0,France,Male,50,7.0,0.0,2.0,1.0,1.0,10062.8,0.0,Jules,Jules Bartlett,FR,fr_FR,Europe/Paris,EUR,Nouvelle-Aquitaine,Bordeaux,33000,183 Rue Gambetta,+33,+33 6 25 89 69 29,jules.bartlett.2531@fr.demo-bank.example,45-54
8.0,15656148,Obinna,376.0,Germany,Female,29,4.0,115046.74,4.0,1.0,0.0,119346.88,1.0,Marie,Marie Obinna,DE,de_DE,Europe/Berlin,EUR,Hamburg,Hamburg,20095,BerlinerStraße 169,+49,+49 151 4735226,marie.obinna.6148@de.demo-bank.example,25-34
9.0,15792365,He,501.0,France,Male,44,4.0,142051.07,2.0,0.0,1.0,74940.5,0.0,Thomas,Thomas He,FR,fr_FR,Europe/Paris,EUR,Hauts-de-France,Lille,59000,24 Allée Pasteur,+33,+33 7 05 77 29 89,thomas.he.2365@fr.demo-bank.example,35-44
10.0,15592389,H?,684.0,France,Male,27,2.0,134603.88,1.0,1.0,1.0,71725.73,0.0,Nicolas,Nicolas H?,FR,fr_FR,Europe/Paris,EUR,Grand Est,Strasbourg,67000,178 Avenue Jean Jaurès,+33,+33 6 04 81 18 82,nicolas.h.2389@fr.demo-bank.example,25-34
11.0,15767821,Bearce,528.0,France,Male,31,6.0,102016.72,2.0,0.0,0.0,80181.12,0.0,Arthur,Arthur Bearce,FR,fr_FR,Europe/Paris,EUR,Occitanie,Montpellier,34000,27 Allée Victor Hugo,+33,+33 6 94 46 42 91,arthur.bearce.7821@fr.demo-bank.example,25-34
12.0,15737173,Andrews,497.0,Spain,Male,24,3.0,0.0,2.0,1.0,0.0,76390.01,0.0,Mateo,Mateo Andrews,ES,es_ES,Europe/Madrid,EUR,Valencian Community,Alicante,03001,141 Calle Gran Vía,+34,+34 628 483 286,mateo.andrews.7173@es.demo-bank.example,18-24
13.0,15632264,Kay,476.0,France,Female,34,10.0,0.0,2.0,1.0,0.0,26260.98,0.0,Chloé,Chloé Kay,FR,fr_FR,Europe/Paris,EUR,Occitanie,Montpellier,34000,49 Avenue Gambetta,+33,+33 6 49 45 04 53,chloe.kay.2264@fr.demo-bank.example,25-34
14.0,15691483,Chin,549.0,France,Female,25,5.0,0.0,2.0,0.0,0.0,190857.79,0.0,Emma,Emma Chin,FR,fr_FR,Europe/Paris,EUR,Nouvelle-Aquitaine,Bordeaux,33000,48 Allée de la Paix,+33,+33 6 38 13 92 81,emma.chin.1483@fr.demo-bank.example,25-34
15.0,15600882,Scott,635.0,Spain,Female,35,7.0,0.0,2.0,1.0,1.0,65951.65,0.0,Daniela,Daniela Scott,ES,es_ES,Europe/Madrid,EUR,Andalusia,Málaga,29001,129 Calle Gran Vía,+34,+34 706 646 796,daniela.scott.0882@es.demo-bank.example,35-44
16.0,15643966,Goforth,616.0,Germany,Male,45,3.0,143129.41,2.0,0.0,1.0,64327.26,0.0,Jonas,Jonas Goforth,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Essen,45127,FriedrichAllee 7,+49,+49 152 1098569,jonas.goforth.3966@de.demo-bank.example,45-54
17.0,15737452,Romeo,653.0,Germany,Male,58,1.0,132602.88,1.0,1.0,0.0,5097.67,1.0,Lukas,Lukas Romeo,DE,de_DE,Europe/Berlin,EUR,North Rhine-Westphalia,Düsseldorf,40213,BahnhofWeg 178,+49,+49 170 7319992,lukas.romeo.7452@de.demo-bank.example,55-64
18.0,15788218,Henderson,549.0,Spain,Female,24,9.0,0.0,2.0,1.0,1.0,14406.41,0.0,Lucía,Lucía Henderson,ES,es_ES,Europe/Madrid,EUR,Catalonia,Barcelona,08001,58 Calle del Sol,+34,+34 743 200 217,lucia.henderson.8218@es.demo-bank.example,18-24
19.0,15661507,Muldrow,587.0,Spain,Male,45,6.0,0.0,1.0,0.0,0.0,158684.81,0.0,Hugo,Hugo Muldrow,ES,es_ES,Europe/Madrid,EUR,Balearic Islands,Palma,07001,131 Avenida Gran Vía,+34,+34 725 168 472,hugo.muldrow.1507@es.demo-bank.example,45-54
20.0,15568982,Hao,726.0,France,Female,24,6.0,0.0,2.0,1.0,1.0,54724.03,0.0,Manon,Manon Hao,FR,fr_FR,Europe/Paris,EUR,Grand Est,Strasbourg,67000,109 Avenue du Moulin,+33,+33 7 32 85 16 70,manon.hao.8982@fr.demo-bank.example,18-24
21.0,15577657,McDonald,732.0,France,Male,41,8.0,0.0,2.0,1.0,1.0,170886.17,0.0,Nicolas,Nicolas McDonald,FR,fr_FR,Europe/Paris,EUR,Pays de la Loire,Nantes,44000,162 Boulevard Victor Hugo,+33,+33 7 05 48 34 19,nicolas.mcdonald.7657@fr.demo-bank.example,35-44
